127.0.0.1 - - [30/Jan/2020:03:29:59 +0100] "GET / HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Jan/2020:03:30:05 +0100] "GET /searchContacts?k=&size=5&page=0 HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [30/Jan/2020:03:30:10 +0100] "GET /searchContacts?k=m&size=5&page=0 HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [30/Jan/2020:03:30:16 +0100] "GET /searchContacts?k=&size=5&page=0 HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [30/Jan/2020:03:32:50 +0100] "GET /searchContacts?k=&size=5&page=0 HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [30/Jan/2020:03:32:51 +0100] "GET /searchContacts?k=&size=5&page=0 HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [30/Jan/2020:03:32:52 +0100] "GET /searchContacts?k=&size=5&page=0 HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [30/Jan/2020:03:32:52 +0100] "GET /searchContacts?k=&size=5&page=0 HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [30/Jan/2020:03:32:52 +0100] "GET /searchContacts?k=&size=5&page=0 HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [30/Jan/2020:03:32:52 +0100] "GET /searchContacts?k=&size=5&page=0 HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [30/Jan/2020:03:32:58 +0100] "GET /searchContacts?k=&size=5&page=0 HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [30/Jan/2020:03:32:59 +0100] "GET /searchContacts?k=&size=5&page=0 HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [30/Jan/2020:03:35:55 +0100] "GET /searchContacts?k=&size=5&page=0 HTTP/1.1" 404 1099
